id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
419	optimum condition	1.1822	0.1074	1	95	355	18	2019	1.1667	1.1893
420	organization	-0.9369	0.1853	3	116	805	50	2019	0.5	0.5097
421	origin	0.6326	0.2717	9	65	246	19	2019	1.7895	1.8241
422	originality value	-1.0744	0.1784	3	79	333	17	2019	1.1765	1.1993
423	pair	-0.2571	0.1249	4	105	363	27	2019	1.6296	1.6612
424	palu bay	-0.2407	0.8662	4	38	213	12	2019	5.8333	5.9463
425	parametric study	-0.023	-0.6226	6	40	93	10	2019	1.3	1.3252
426	park	-0.7776	0.2038	3	49	473	33	2019	0.5455	0.556
427	partial discharge	0.0032	-0.5003	5	82	720	59	2019	0.1525	0.1555
428	participant	-0.8915	0.0778	3	87	557	38	2019	0.6053	0.617
429	particle	0.6573	0.0481	1	220	2217	159	2019	1.6415	1.6733
430	particle size	1.0243	-0.1113	1	78	416	22	2019	0.7727	0.7877
431	party	-0.9033	-0.0025	3	89	271	23	2019	0.1304	0.133
432	path	-0.193	-0.092	2	133	717	73	2019	0.4521	0.4608
433	patient	-0.344	-0.3284	2	123	583	62	2019	0.9839	1.0029
434	pattern recognition	-0.2579	-0.324	5	41	149	13	2019	0.0769	0.0784
435	pca	-0.4537	-0.0697	2	77	223	15	2019	1.3333	1.3592
436	pcm	0.8165	-0.0549	1	28	139	14	2019	0.2857	0.2912
437	peak	0.4687	0.2917	4	164	590	37	2019	1.3514	1.3775
438	peptide	0.9874	0.0057	1	25	140	11	2019	0.8182	0.834
439	percent	-0.6873	0.2225	3	82	290	17	2019	0.1176	0.1199
440	perception	-0.9462	0.1744	3	97	673	35	2019	0.9714	0.9902
441	performance evaluation	-0.4937	-0.4498	2	47	170	16	2019	0.5	0.5097
442	period	-0.1746	0.6079	4	263	1698	119	2019	1.0168	1.0365
443	permeability	0.5414	0.123	7	91	523	40	2019	0.825	0.841
444	perspective	-0.5199	-0.0217	3	143	552	38	2019	2.6316	2.6825
445	phenomena	0.0582	0.3735	4	151	526	45	2019	0.7333	0.7475
446	physical property	0.5748	0.1656	1	82	216	17	2019	0.2353	0.2399
447	picture	-0.5278	-0.1191	2	42	133	14	2019	0.9286	0.9466
448	pixel	0.1183	-0.0501	7	70	336	29	2019	0.2759	0.2812
449	plastic waste	0.2849	0.3034	3	12	111	16	2019	1.875	1.9113
450	platform	-0.6507	-0.1463	5	179	997	95	2019	0.7158	0.7297
451	plutonium	0.7941	0.5422	8	7	144	14	2019	0.3571	0.3641
452	polymer	1.0274	-0.0377	7	125	779	51	2019	1.9608	1.9988
453	polypropylene	1.1943	-0.0544	1	69	426	23	2019	0.8261	0.8421
454	pore	0.6242	0.1169	7	93	866	47	2019	1.0426	1.0627
455	pore structure	0.5536	0.1606	7	44	254	16	2019	0.4375	0.446
456	porosity	0.6915	0.0541	7	117	709	44	2019	1.9091	1.9461
457	porous medium	0.4991	0.1019	7	18	317	15	2019	0.7333	0.7475
458	power apparatus	0.1681	-0.736	6	47	250	12	2019	0	0
459	power transformer	-0.1435	-0.2823	5	27	112	12	2019	0.25	0.2548
460	ppm	1.0138	0.1869	1	106	623	39	2019	1.0513	1.0716
461	practical implication	-1.0614	0.2346	3	69	306	14	2019	1.0714	1.0922
462	pre	-0.3974	0.3223	4	68	204	11	2019	3.0909	3.1508
463	precipitate	0.4996	-0.0571	8	26	458	13	2019	2.4615	2.5092
464	precision	-0.5609	-0.1456	2	106	269	23	2019	1.4348	1.4626
465	precursor	1.1326	-0.005	1	57	224	16	2019	1.8125	1.8476
466	preliminary result	-0.0046	0.4843	4	99	315	30	2019	0.3333	0.3398
467	preparation	0.9886	-0.0781	1	153	629	40	2019	3.1	3.16
